Scenario,BDG,CoreInflation,ChangeDebt/GDP,SRi,Money0/GDP,R.GDPg,Curve,Equityg,R.FXxTWI
2,1.436205997,5.011813384,4.086324504,9.14039097,4.532056762,3.645848175,-0.670942706,0.1,0.391408038
2,1.978618768,5.441679499,5.263229493,10.639727,4.214053684,1.386210718,-1.104276574,0.213326446,2.327016662
2,2.590193053,6.290244849,5.37749966,12.61413586,4.214053684,2.571993984,1.175536777,0.303959132,7.054851913
2,2.734422007,7.539524879,4.825582525,14.35924359,3.699093862,1.265415974,1.094463063,0.135814561,10.91382255
2,1.724974744,7.183830357,4.682550479,10.99744706,6.280047871,-1.426422861,1.918798005,-0.171888474,11.97025363
2,-0.057449572,3.913580102,8.870901918,19.43552289,4.767994529,1.137971978,3.012010327,0.043387713,14.77472687
2,-1.464381265,3.509339038,13.27924286,8.19745118,4.577192683,-0.546505185,0.500521142,-0.078842315,-0.933159303
2,-1.292565415,3.496996697,11.85980527,7.728812164,9.716532741,3.620359376,-1.60303385,0.336583604,-4.589094073
2,-0.879383652,2.800300918,1.279320598,9.032045541,9.207727817,3.911818254,-1.200487469,0.346663064,-7.89825647
2,-0.630013655,1.664335336,-8.910935344,5.269551074,7.275089759,2.398005224,-2.048682713,0.172953451,5.742531181
2,-0.712463504,0.679298955,-5.778999942,3.846906107,3.70524876,2.887833452,-2.893029521,0.358193637,-1.58480776
2,-0.040120339,0.758760124,0.051110636,3.981244145,3.397503847,4.571202406,-1.723361609,0.209823678,0.696284121
2,0.699286182,0.990325955,0.605359815,3.105730727,3.368780988,4.470355418,-1.811362507,0.134499271,-1.212253054
2,1.183727617,0.637570087,-4.410867326,3.905067787,3.502137117,5.498773055,-1.129932813,0.508166636,0.020787006
2,1.036438975,1.651723266,14.82073911,4.063954509,7.435889917,3.588839561,-1.614708766,0.1,-17.34497922
2,0.935007534,2.023145417,10.04986211,6.774356065,8.90723282,4.925370232,-0.579917631,0.176722599,-5.298361332
2,0.432245103,2.769528946,4.630336459,6.974931453,8.90723282,3.156421141,0.339909786,-0.172026699,14.64547047
2,-0.331742843,2.390241847,1.59095422,4.067601334,8.513994986,0.349590071,1.000980584,-0.110296812,18.54477996
2,-1.113309895,1.406926772,1.784225041,1.957575266,8.120757151,-1.418192424,-1.352422044,-0.197281713,11.39664709
2,-1.250778503,0.685612764,3.723110866,1.12231722,8.120757151,1.46757834,-1.925475583,0.391482812,-5.169706963
2,-1.212631843,0.22826606,5.008052951,0.207369288,8.846531677,2.703003986,-2.068091783,-0.012536873,1.521522553
2,-0.845052737,0.225120081,4.127302813,0.169415292,9.570986613,1.550017823,-2.353677192,0,12.98138033
